258	Lq	Populus x canadensis	SI
273	Ba	Betula alba	NO
275	Jn	Juglans nigra	NO
276	Am	Acer monspessulanum	NO
278	Sa	Sorbus aria	NO
355	Fo	Fraxinus ornus	NO
357	Sq	Salix atrocinerea	NO
373	Bp	Betula pendula	NO
378	Su	Sorbus aucuparia	NO
395	Ra	Prunus avium	NO
436	Uc	Cupressus macrocarpa	NO
576	As	Acer pseudoplatanus	NO
657	Sc	Salix caprea	NO
857	Sf	Salix fragilis	NO
957	Sp	Salix purpurea	NO
