74	Ce	Corylus avellana	NO	44
75	Jr	Juglans regia	NO	43
76	Ac	Acer campestre	NO	44
77	Ti	Tilia spp.	NO	43
78	So	Sorbus spp.	NO	44
79	Nh	Platanus hispanica	NO	43
92	Rp	Robinia pseudoacacia	NO	43
95	Rv	Prunus spp.	NO	44
97	Sn	Sambucus nigra	NO	44
215	Cm	Crataegus monogyna	NO	44
217	Dd	Cedrus deodara	NO	21
235	Ld	Larix decidua	NO	26
236	Ua	Cupressus arizonica	NO	38
237	Jo	Juniperus oxycedrus	NO	38
255	Fe	Fraxinus excelsior	NO	43
257	Sb	Salix alba	NO	44
258	Lq	Populus x canadensis	SI	258
273	Ba	Betula alba	NO	44
275	Jn	Juglans nigra	NO	43
276	Am	Acer monspessulanum	NO	44
278	Sa	Sorbus aria	NO	44
355	Fo	Fraxinus ornus	NO	43
357	Sq	Salix atrocinerea	NO	44
373	Bp	Betula pendula	NO	44
378	Su	Sorbus aucuparia	NO	44
395	Ra	Prunus avium	NO	44
436	Uc	Cupressus macrocarpa	NO	38
576	As	Acer pseudoplatanus	NO	44
657	Sc	Salix caprea	NO	44
857	Sf	Salix fragilis	NO	44
957	Sp	Salix purpurea	NO	44
